10002,109,ELDRIDGE                      ,ST        ,                    ,                    ,                    
10002,86,ELDRIDGE                      ,ST        ,                    ,                    ,                    
10002,108 TO 110          ,ELDRIDGE                      ,ST        ,                    ,                    ,                    
10002,235,ELDRIDGE                      ,ST        ,                    ,                    ,                    
10002,136,ELDRIDGE                      ,ST        ,                    ,,                    
10002,5,ELDRIDGE                      ,ST        ,                    ,,                    
10002,106,ELDRIDGE                      ,ST        ,                    ,,                    
10002,46,ELDRIDGE                      ,ST        ,                    ,,                    
10002,42,ELDRIDGE                      ,ST        ,                    ,,                    
10002,44,ELDRIDGE                      ,ST        ,                    ,,                    
10002,135 TO 137          ,ELDRIDGE                      ,ST        ,                    ,,                    
10002,83,ELDRIDGE                      ,ST        ,                    ,,                    
10002,73,ELDRIDGE                      ,ST        ,                    ,,                    
10002,131,ELDRIDGE                      ,ST        ,                    ,,                    
10002,140,ELDRIDGE                      ,ST        ,                    ,,                    
10002,81,ELDRIDGE                      ,ST        ,                    ,,                    
10002,11,ELDRIDGE                      ,ST        ,                    ,,                    
10002,115,ELDRIDGE                      ,ST        ,                    ,,                    
10002,24,ELDRIDGE                      ,ST        ,                    ,,                    
10002,38,ELDRIDGE                      ,ST        ,                    ,,                    
10002,139,ELDRIDGE                      ,ST        ,                    ,,                    
10002,103,ELDRIDGE                      ,ST        ,                    ,,                    
10002,2,ELDRIDGE                      ,ST        ,                    ,,                    
10002,231,ELDRIDGE                      ,ST        ,                    ,,                    
10002,9,ELDRIDGE                      ,ST        ,                    ,,                    
10002,21,ELDRIDGE                      ,ST        ,                    ,,                    
10002,112 TO 114          ,ELDRIDGE                      ,ST        ,                    ,,                    
10002,111,ELDRIDGE                      ,ST        ,                    ,,                    
10002,85,ELDRIDGE                      ,ST        ,                    ,,                    
10002,15,ELDRIDGE                      ,ST        ,                    ,,                    
10002,84,ELDRIDGE                      ,ST        ,                    ,,                    
10002,249 TO 251          ,ELDRIDGE                      ,ST        ,                    ,,                    
10002,7,ELDRIDGE                      ,ST        ,                    ,,                    
10002,19,ELDRIDGE                      ,ST        ,                    ,,                    
10002,67,ELDRIDGE                      ,ST        ,                    ,,                    
10002,127,ELDRIDGE                      ,ST        ,                    ,,                    
10002,129,ELDRIDGE                      ,ST        ,                    ,,                    
10002,141,ELDRIDGE                      ,          ,                    ,,                    
10002,163,ELDRIDGE                      ,ST        ,,,                    
10002,161,ELDRIDGE                      ,ST        ,,,                    
10002,138,ELDRIDGE                      ,ST        ,,,                    
10002,13,ELDRIDGE                      ,ST        ,APARTMETN           ,,                    
10002,118,ELDRIDGE                      ,ST        ,APT BUILDING        ,,                    
10002,26,ELDRIDGE                      ,ST        ,GARDEN COMPLEX      ,,                    
10002,180,ELDRIDGE                      ,ST        ,LIHTC               ,,ARTICLES 14 & 15    
